Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Returns
12-10-2016,834,837.666,830.1,834.09,2380416,0,1,834,837.666,830.1,834.09,2380416,-0.005766764
13-10-2016,829,831.8,821.21,829.28,3091387,0,1,829,831.8,821.21,829.28,3091387,-0.007621069
14-10-2016,835.08,835.74,822.96,822.96,2999814,0,1,835.08,835.74,822.96,822.96,2999814,-0.01216341
17-10-2016,821.5,822,811.68,812.95,3361492,0,1,821.5,822,811.68,812.95,3361492,0.005781413
18-10-2016,822.11,823.26,815.02,817.65,2512504,0,1,822.11,823.26,815.02,817.65,2512504,4.89E-05
19-10-2016,820.4,820.67,815.17,817.69,2090706,0,1,820.4,820.67,815.17,817.69,2090706,-0.009013196
20-10-2016,813.99,815.71,803.1,810.32,3151954,0,1,813.99,815.71,803.1,810.32,3151954,0.010699477
21-10-2016,809.36,819.42,809,818.99,2793015,0,1,809.36,819.42,809,818.99,2793015,0.023321408
24-10-2016,824.95,838.3,822.21,838.09,4060899,0,1,824.95,838.3,822.21,838.09,4060899,-0.003472181
25-10-2016,839.3,843.09,833.22,835.18,3248358,0,1,839.3,843.09,833.22,835.18,3248358,-0.015074595
26-10-2016,832.76,833.44,820,822.59,3998102,0,1,832.76,833.44,820,822.59,3998102,-0.005142294
27-10-2016,831.24,831.72,815.43,818.36,7406385,0,1,831.24,831.72,815.43,818.36,7406385,-0.051371035
28-10-2016,782,789.49,774.61,776.32,10841073,0,1,782,789.49,774.61,776.32,10841073,0.017389736
31-10-2016,781.03,793.7,780.11,789.82,5413326,0,1,781.03,793.7,780.11,789.82,5413326,-0.005583551
01-11-2016,799,800.84,776.713,785.41,5305428,0,1,799,800.84,776.713,785.41,5305428,-0.025273424
02-11-2016,783.93,784.75,763.55,765.56,5026504,0,1,783.93,784.75,763.55,765.56,5026504,0.001920163
03-11-2016,765.05,777,764,767.03,3872496,0,1,765.05,777,764,767.03,3872496,-0.015618685
04-11-2016,762.79,766,753.2301,755.05,5122103,0,1,762.79,766,753.2301,755.05,5122103,0.039573538
07-11-2016,771.64,787.732,770.94,784.93,5984354,0,1,771.64,787.732,770.94,784.93,5984354,0.003592677
08-11-2016,784.97,791.7399,779.1,787.75,3412629,0,1,784.97,791.7399,779.1,787.75,3412629,-0.020145985
09-11-2016,764,777.5,760.09,771.88,8562892,0,1,764,777.5,760.09,771.88,8562892,-0.038218376
10-11-2016,778.81,778.83,717.7,742.38,12746994,0,1,778.81,778.83,717.7,742.38,12746994,-0.004539454
11-11-2016,735.73,743.26,728.9,739.01,6622784,0,1,735.73,743.26,728.9,739.01,6622784,-0.026982044
14-11-2016,745.51,746,710.1,719.07,7321344,0,1,745.51,746,710.1,719.07,7321344,0.033612861
15-11-2016,730,746.78,725.99,743.24,6755785,0,1,730,746.78,725.99,743.24,6755785,0.004372746
16-11-2016,718,749.87,735.61,746.49,3648791,0,1,718,749.87,735.61,746.49,3648791,0.013275462
17-11-2016,749.32,757.5,748,756.4,3690112,0,1,749.32,757.5,748,756.4,3690112,0.004970915
18-11-2016,761,767.74,757.6435,760.16,4373408,0,1,761,767.74,757.6435,760.16,4373408,0.026099768
21-11-2016,766,780.35,765.11,780,4614574,0,1,766,780.35,765.11,780,4614574,0.006833333
22-11-2016,788.17,792.4,781,785.33,5311320,0,1,788.17,792.4,781,785.33,5311320,-0.006634154
23-11-2016,781.73,781.75,773.12,780.12,3540263,0,1,781.73,781.75,773.12,780.12,3540263,0.000320464
